Articul,Name,URL,Price,Promo Price,Brand
473978,"Вода Святой Источник негазированная, 500мл",https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-05-l-473978,40.0,,СВЯТОЙ ИСТОЧНИК
456829,"Вода Святой Источник негазированная, 330мл",https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-033-l-456829,30.49,19.9,СВЯТОЙ ИСТОЧНИК
482548,"Вода Святой Источник Спортик для детей негазированная, 330мл",https://online.metro-cc.ru/products/svyatoj-istochnik-sportik-033-l-482548,34.49,,СВЯТОЙ ИСТОЧНИК
279245,"Вода Святой Источник Спортик для детей негазированная, 330мл x 12 шт",https://online.metro-cc.ru/products/art_279245,442.81,,СВЯТОЙ ИСТОЧНИК
454308,"Вода Святой Источник негазированная, 1л",https://online.metro-cc.ru/products/pityevaya-svyatoj-istochnik-negazirovannaya-1-l,47.5,,СВЯТОЙ ИСТОЧНИК
14543,"Вода Святой Источник газированная, 1л",https://online.metro-cc.ru/products/svyatoj-istochnik-gazirovannaya-pet-1l,47.5,,СВЯТОЙ ИСТОЧНИК
412898,"Вода питьевая Шишкин лес Спорт негазированная, 1л",https://online.metro-cc.ru/products/shishkin-les-sport-1l,58.9,,ШИШКИН ЛЕС
91737,"Вода Легенда гор Архыз негазированная, 5л",https://online.metro-cc.ru/products/gazirovannaya-legenda-gor-arhyz-5l,115.0,84.9,ЛЕГЕНДА ГОР АРХЫЗ
63855,"Вода Черноголовка природная негазированная, 5л",https://online.metro-cc.ru/products/chernogolovskaya-bez-gaza-5l,105.0,86.9,ЧЕРНОГОЛОВКА
474024,"Вода Сенежская питьевая негазированная, 500мл",https://online.metro-cc.ru/products/senezhskaya-negazirovannaya-05-l,22.99,16.9,СЕНЕЖСКАЯ
107639,"Вода Baikal430 Байкальская глубинная вода негазированная, 850мл x 6 шт",https://online.metro-cc.ru/products/baikal-430-bajkalskaya-glubinnaya-negazirovannaya-085-l,599.4,,BAIKAL430
653759,"Вода Baikal430 Байкальская глубинная вода негазированная, 450мл x 12 шт",https://online.metro-cc.ru/products/art_653759,766.8,,BAIKAL430
595355,"Вода Черноголовка питьевая негазированная, 19л",https://online.metro-cc.ru/products/chernogolovskaya-stolovaya-negazirovannaya-19l,409.0,,ЧЕРНОГОЛОВКА
395466,"Вода ФрутоНяня Детская негазированная, 330мл",https://online.metro-cc.ru/products/voda-pityevaya-detskaya-frutonyanya-negazirovannaya-330g,38.49,24.9,ФРУТОНЯНЯ
91738,"Вода Псыж газированная, 1л",https://online.metro-cc.ru/products/art_91738,57.9,44.9,ПСЫЖ
4183,"Вода Шишкин лес питьевая негазированная, 5л",https://online.metro-cc.ru/products/shishkin-les-negazirovannaya-5l,112.0,,ШИШКИН ЛЕС
457133,"Вода Borjomi природная минеральная газированная стекло, 500мл",https://online.metro-cc.ru/products/borjomi-gazirovannaya-steklo-05-l,133.0,,BORJOMI
473582,Вода Шишкин лес питьевая негазированная 1.75л,https://online.metro-cc.ru/products/shishkin-les-negazirovannaya-175l-473582,55.9,39.9,ШИШКИН ЛЕС
456729,"Вода San Benedetto минеральная негазированная, 1.5л",https://online.metro-cc.ru/products/sanbenedetto-stolovaya-pityevaya-negazirovannaya-15l,247.0,209.0,SAN BENEDETTO
473976,"Вода Святой Источник негазированная, 1.5л",https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-15l-473976,56.9,,СВЯТОЙ ИСТОЧНИК
481374,"Вода Nestle Pure Life артезианская негазированная, 500мл",https://online.metro-cc.ru/products/nestle-pure-life-negazirovannaya-05-l,44.49,32.9,NESTLE
222222,"Вода Архыз Vita негазированная, 5л",https://online.metro-cc.ru/products/arhyz-negazirovannaya-5-l,119.0,,АРХЫЗ
573873,"Вода Tassay питьевая негазированная, 500мл",https://online.metro-cc.ru/products/tassay-negazirovannaya-pet-05-l,46.99,37.9,TASSAY
423013,"Вода Святой Источник негазированная, 5л",https://online.metro-cc.ru/products/art_423013,132.0,,СВЯТОЙ ИСТОЧНИК
457128,"Вода Borjomi природная минеральная газированная стекло, 330мл",https://online.metro-cc.ru/products/borjomi-gazirovannaya-steklo-033-l,119.0,74.9,BORJOMI
94103,"Вода Baikal430 Байкальская глубинная вода негазированная, 850мл",https://online.metro-cc.ru/products/voda-baikal-430-bajkalskaya-glubinnaya-voda-negazirovannaya-085-l,104.0,,BAIKAL430
457131,"Вода Borjomi природная минеральная газированная, 500мл",https://online.metro-cc.ru/products/borjomi-lechebno-stolovaya-gazirovannaya-12h05-l,100.9,,BORJOMI
464846,"Вода Архыз Vita негазированная, 1.5л",https://online.metro-cc.ru/products/arhyz-negazirovannaya-15l,53.9,,АРХЫЗ
591747,"Вода Святой Источник Светлячок для детей негазированная 0+, 5л",https://online.metro-cc.ru/products/voda-dlya-detej-svyatoj-istochnik-svetlyachok-pet-5-l,141.0,109.0,СВЯТОЙ ИСТОЧНИК
480760,"Вода Jermuk минеральная газированная, 1л",https://online.metro-cc.ru/products/dzhermuk-1l-480760,102.0,,JERMUK
6880,"Вода Borjomi природная минеральная газированная, 1.25л",https://online.metro-cc.ru/products/mineralnaya-borzhomi-pet-125l,169.0,,BORJOMI
118082,"Вода Шишкин лес питьевая негазированная, 18.9л",https://online.metro-cc.ru/products/189l-shishkin-les-b-g,549.0,,ШИШКИН ЛЕС
75629,"Вода Aqua Minerale питьевая негазированная, 5л",https://online.metro-cc.ru/products/aqua-minerale-stolovaya-negazirovannaya-5l-75629,125.0,119.0,AQUA MINERALE
474022,"Вода питьевая Сенежская негазированная, 1.5л",https://online.metro-cc.ru/products/senezhskaya-bez-gaza-15l,38.99,,СЕНЕЖСКАЯ
473977,"Вода Святой Источник газированная, 1.5л",https://online.metro-cc.ru/products/svyatoj-istochnik-gazirovannaya-15l-473977,56.9,,СВЯТОЙ ИСТОЧНИК
298352,"Вода ФрутоНяня для детского питания негазированная, 1.5л",https://online.metro-cc.ru/products/voda-detskaya-frutonyanya-15l,57.9,,ФРУТОНЯНЯ
461346,"Вода Рычал-Су минеральная газированная, 1л",https://online.metro-cc.ru/products/rychal-su-1-l-461346,89.9,,РЫЧАЛ-СУ
200973,"Вода BonaAqua негазированная, 5л",https://online.metro-cc.ru/products/5l-voda-bona-aqua-bg-pet-200973,139.0,,BONAAQUA
439726,"Вода Donat Mg минеральная природная лечебная газированная, 1л",https://online.metro-cc.ru/products/donat-mg-lechebno-stolovaya-prirodnoj-gazacii-1l,319.0,,DONAT
457129,"Вода Borjomi природная минеральная газированная стекло, 330мл x 12 шт",https://online.metro-cc.ru/products/borjomi-lechebno-stolovaya-gazirovannaya-033-l-h-12sht,1308.0,898.8,BORJOMI
461364,"Вода Нарзан минеральная газированная, 500мл",https://online.metro-cc.ru/products/art_461364,69.9,,НАРЗАН
17663,"Вода Набеглави минеральная лечебно-столовая природная газированная, 1л",https://online.metro-cc.ru/products/mineralnaya-nabeglavi-1-l-17663,113.0,,НАБЕГЛАВИ
31187,"Вода Aqua Minerale питьевая негазированная, 500мл",https://online.metro-cc.ru/products/art_31187,49.9,,AQUA MINERALE
451326,"Вода Aqua Minerale питьевая газированная, 2л",https://online.metro-cc.ru/products/aqua-minerale-gazirovannaya-2l,81.9,74.9,AQUA MINERALE
395470,"Вода ФрутоНяня для детского питания негазированная, 5л",https://online.metro-cc.ru/products/voda-detskaya-frutonyanya-5l,140.0,,ФРУТОНЯНЯ
117721,"Вода Baikal430 глубинная негазированная, 5л",https://online.metro-cc.ru/products/5l-baikal430-glubinnaya-b-g-pet-117721,459.0,,BAIKAL430
76833,"Вода Ессентуки №17 минеральная лечебная газированная, 450мл",https://online.metro-cc.ru/products/essentuki-17-steklo-045-l,74.9,,ЕССЕНТУКИ
457134,"Вода Borjomi природная минеральная газированная стекло, 500мл x 12 шт",https://online.metro-cc.ru/products/borjomi-lechebno-stolovaya-gazirovannaya-05-l-h-12sht-457134,1392.0,,BORJOMI
618397,"Вода Mever природная минеральная негазированная, 500мл",https://online.metro-cc.ru/products/negazirovannaya-v-stekle-mever-05-l,72.9,,MEVER
439746,"Вода Stelmas Mg минеральная лечебно-столовая газированная, 1л",https://online.metro-cc.ru/products/mineralnaya-stemals-gazirovannaya-1-l,94.9,,STELMAS
533440,"Вода Калинов Родник питьевая негазированная, 6л",https://online.metro-cc.ru/products/kalinov-rodnik-artezianskaya-negazirovannaya-6l,106.0,,КАЛИНОВ РОДНИК
614702,"aro Вода питьевая негазированная, 19л",https://online.metro-cc.ru/products/aro-pet-19l,389.0,,ARO
451807,"Вода Ессентуки №4 минеральная лечебная газированная, 1.5л",https://online.metro-cc.ru/products/essentuki-4-15l,106.0,,ЕССЕНТУКИ
573870,"Вода Tassay питьевая негазированная, 1.5л",https://online.metro-cc.ru/products/tassay-bez-gaza-15l,74.9,,TASSAY
76830,"Вода Ессентуки №4 минеральная лечебная газированная, 450мл",https://online.metro-cc.ru/products/essentuki-4-steklo-045-l,74.9,,ЕССЕНТУКИ
461345,"Вода Рычал-Су минеральная газированная, 500мл",https://online.metro-cc.ru/products/rychal-su-05-l-461345,90.9,,РЫЧАЛ-СУ
457137,"Вода Borjomi природная минеральная газированная, 750мл",https://online.metro-cc.ru/products/borjomi-lechebno-stolovaya-gazirovannaya-6h075-l,136.0,,BORJOMI
474021,"Вода питьевая Сенежская газированная, 1.5л x 6 шт",https://online.metro-cc.ru/products/senezhskaya-gazirovannaya-15l-474021,38.99,,СЕНЕЖСКАЯ
464845,"Вода Архыз газированная, 1.5л",https://online.metro-cc.ru/products/arhyz-gazirovannaya-15l-464845,57.9,,АРХЫЗ
87367,"aro Вода питьевая негазированная, 5л",https://online.metro-cc.ru/products/aro-negazirovannaya-5l,63.9,,ARO
200947,"Вода BonaAqua негазированная, 330мл",https://online.metro-cc.ru/products/033l-voda-bona-aqua-bg-st,76.9,62.9,BONAAQUA
464848,"Вода Архыз негазированная, 500мл",https://online.metro-cc.ru/products/arhyz-negazirovannaya-05-l,39.0,,АРХЫЗ
624570,"Вода Borjomi природная минеральная газированная, 330мл",https://online.metro-cc.ru/products/mineralnaya-borjomi-v-zheleznoj-banke-12-033-l,87.9,,BORJOMI
125700,"Вода Legend of Baikal негазированная, 750мл",https://online.metro-cc.ru/products/075-l-legend-of-baikal-st-n-g-125700,136.0,,LEGEND OF BAIKAL
329142,"Вода Калинов Родник негазированная, 9л",https://online.metro-cc.ru/products/kalinov-rodnik-artezanskaya-negazirovannaya-9-l,162.0,,КАЛИНОВ РОДНИК
200957,"Вода BonaAqua негазированная, 500мл",https://online.metro-cc.ru/products/05l-voda-bona-aqua-bg-pet-200957,52.9,49.9,BONAAQUA
208638,"Вода Edis негазированная, 500мл",https://online.metro-cc.ru/products/05l-voda-edis-negaz-st-208638,154.0,,EDIS
480759,"Вода Jermuk минеральная газированная, 500мл",https://online.metro-cc.ru/products/dzhermuk-klassik-gazirovannaya-lechebno-stolovaya-05-l,82.9,,JERMUK
89093,"Вода Legend of Baikal питьевая негазированная, 500мл",https://online.metro-cc.ru/products/bez-gaza-legendy-bajkala-steklo-05-l-89093,127.0,,LEGEND OF BAIKAL
216455,"Вода минеральные San Pellegrino газированная, 1л",https://online.metro-cc.ru/products/1l-min-voda-san-pellegrino-gaz-pet-216455,264.0,,SAN PELLEGRINO
31188,"Вода Aqua Minerale питьевая газированная, 500мл",https://online.metro-cc.ru/products/art_31188,49.9,,AQUA MINERALE
216706,"Вода Нарзан газированная, 1.5л",https://online.metro-cc.ru/products/voda-narzan-gazirovannaya-15l,91.9,,НАРЗАН
93959,"Вода Ессентуки №4 минеральная лечебная газированная, 1л",https://online.metro-cc.ru/products/art_93959,82.9,,ЕССЕНТУКИ
654446,"Вода Аштау минеральная газированная, 500мл",https://online.metro-cc.ru/products/mineralnaya-ash-tau-gazirovannaya-05-l,67.9,49.9,АШТАУ
70725,"Вода Baikal Pearl негазированная, 1л",https://online.metro-cc.ru/products/zhemchuzhina-bajkala-baikal-pearl-negazirovannaya-1l-70725,118.0,,BAIKAL PEARL
451327,"Вода Aqua Minerale питьевая негазированная, 2л",https://online.metro-cc.ru/products/art_451327,81.9,74.9,AQUA MINERALE
474023,"Вода Сенежская питьевая газированная, 500мл",https://online.metro-cc.ru/products/senezhskaya-gazirovannaya-05-l,22.99,16.9,СЕНЕЖСКАЯ
200971,"Вода BonaAqua газированная, 1л",https://online.metro-cc.ru/products/1l-voda-bona-aqua-gaz-pet-200971,66.9,53.9,BONAAQUA
457132,"Вода Borjomi природная минеральная газированная, 500мл x 12 шт",https://online.metro-cc.ru/products/borjomi-lechebno-stolovaya-gazirovannaya-05-l-h-12sht,1260.0,,BORJOMI
481376,"Вода Nestle Pure Life питьевая артезианская негазированная, 2л",https://online.metro-cc.ru/products/nestle-negazirovannaya-pure-life-2l,85.9,,NESTLE
568824,"RIOBA Вода газированная, 330мл",https://online.metro-cc.ru/products/art_568824,55.9,,RIOBA
200959,"Вода BonaAqua газированная, 500мл",https://online.metro-cc.ru/products/05l-voda-bona-aqua-gaz-pet-200959,52.9,49.9,BONAAQUA
457299,"Вода Святой Источник газированная, 500мл",https://online.metro-cc.ru/products/svyatoj-istochnik-gazirovannaya-05-l-457299,40.0,,СВЯТОЙ ИСТОЧНИК
868,"Вода Святой Источник Светлячок для детей негазированная 0+, 330мл",https://online.metro-cc.ru/products/svetlyachok-svyatoj-istochnik-033-l-pet,33.5,,СВЯТОЙ ИСТОЧНИК
456728,"Вода San Benedetto минеральная газированная, 1.5л",https://online.metro-cc.ru/products/sanbenedetto-stolovaya-pityevaya-gazirovannaya-15l,247.0,209.0,SAN BENEDETTO
36622,"Вода Калинов Родник питьевая негазированная, 18.9л",https://online.metro-cc.ru/products/kalinov-rodnik-189l,449.0,,КАЛИНОВ РОДНИК
459541,"aro Вода минеральная питьевая негазированная, 500мл",https://online.metro-cc.ru/products/aro-mineralnaya-negazirovannaya-05-l,19.0,,ARO
656512,"Вода Аштау газированная, 1.5л",https://online.metro-cc.ru/products/ashtau-gazirovannaya-pet-15l,80.9,,АШТАУ
128100,"Вода Святой Источник негазированная лимон, 1.5л",https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-limon-15l,78.9,,СВЯТОЙ ИСТОЧНИК
480777,"Вода Калинов Родник газированная, 1.5л",https://online.metro-cc.ru/products/kalinov-rodnik-gazirovannaya-v-upakovke-6h15l,41.5,32.9,КАЛИНОВ РОДНИК
504546,"Вода Святой Источник Sport негазированная, 750мл",https://online.metro-cc.ru/products/pityevaya-svyatoj-istochnik-sport-negazirovannaya-pet-075-l,49.49,,СВЯТОЙ ИСТОЧНИК
200961,"Вода BonaAqua негазированная, 1л",https://online.metro-cc.ru/products/1l-voda-bona-aqua-bg-pet,66.9,53.9,BONAAQUA
626293,"Вода Мтаби Нагутская-26 минеральная газированная, 1.25л",https://online.metro-cc.ru/products/mtabi-nagutskaya-26-i-125l,78.9,,МТАБИ
45086,"Вода Mever природная минеральная негазированная, 1.5л",https://online.metro-cc.ru/products/mever-bez-gaza-15l,68.9,,MEVER
118083,"Вода Шишкин лес спорт негазированная, 650мл",https://online.metro-cc.ru/products/065-l-shishkin-les-sport-b-g-118083,46.99,,ШИШКИН ЛЕС
120536,"Вода Fleur Alpine детская питьевая негазированная, 250мл",https://online.metro-cc.ru/products/detskaya-fleur-alpine-pet-025-l-120536,107.0,,FLEUR ALPINE
14830,"Вода Набеглави минеральная лечебно-столовая природная газированная, 500мл",https://online.metro-cc.ru/products/mineralnaya-nabeglavi-v-steklyannoj-butylke-05-l,103.0,,НАБЕГЛАВИ
566304,"Вода Черноголовка газированная, 1.5л",https://online.metro-cc.ru/products/art_566304,42.49,,ЧЕРНОГОЛОВКА
227350,"Вода Шишкин лес питьевая негазированная, 1л",https://online.metro-cc.ru/products/art_227350,50.9,,ШИШКИН ЛЕС
511781,"Вода Sairme родниковая негазированная, 500мл",https://online.metro-cc.ru/products/sairme-rodnikovaya-negazirovannaya-05-l,119.0,99.9,SAIRME
223612,"Вода San Benedetto газированная, 330мл",https://online.metro-cc.ru/products/033l-voda-san-benedetto-gaz-pet-223612,97.9,,SAN BENEDETTO
597379,"Вода Святой Источник Светлячок для детей негазированная 0+, 1.5л",https://online.metro-cc.ru/products/svyatoj-istochnik-svetlyachok-bez-gaza-15l,57.9,,СВЯТОЙ ИСТОЧНИК
114345,"Вода Байкальская питьевая негазированная, 500мл",https://online.metro-cc.ru/products/05-l-voda-bajkalskaya-n-g-prirpit,51.9,39.9,БАЙКАЛЬСКАЯ
473598,"Вода Perrier минеральная газированная, 330мл",https://online.metro-cc.ru/products/perrier-stolovaya-pityevaya-gazirovannaya-4h033-l,204.0,,PERRIER
4062,"Вода питьевая Сенежская негазированная, 5л",https://online.metro-cc.ru/products/senezhskaya-mineralnaya-negazirovannaya-5l,93.9,,СЕНЕЖСКАЯ
601630,"Вода Aqua Minerale питьевая газированная, 1л",https://online.metro-cc.ru/products/mineralnaya-aqua-minerale-gazirovannaya-1l,62.9,54.9,AQUA MINERALE
480658,"Вода Шишкин лес питьевая негазированная, 400мл",https://online.metro-cc.ru/products/negazirovannaya-shishkin-les-04-l-480658,37.0,,ШИШКИН ЛЕС
202485,"Вода Rare минеральная кремнистая газированная, 800мл",https://online.metro-cc.ru/products/08l-voda-rare-mineralnaya-kremnistaya-gaz-st-202485,155.0,,RARE
513646,"Вода Stelmas O2 негазированная, 1.5л",https://online.metro-cc.ru/products/stelmas-o2-negazirovannaya-15l,54.9,,STELMAS
128185,"Вода Калинов Родник для кулера негазированная, 9л",https://online.metro-cc.ru/products/kalinov-rodnik-9l,166.0,,КАЛИНОВ РОДНИК
122060,"Вода Калинов Родничок детская негазированная, 330мл",https://online.metro-cc.ru/products/033-l-kalinov-rodnichok-b-g-pet-122060,32.49,26.9,КАЛИНОВ РОДНИЧОК
115956,"Вода Stelmas минеральная природная столовая негазированная, 1.5л",https://online.metro-cc.ru/products/15l-voda-stelmas-b-g-pet-115956,51.9,,STELMAS
461363,"Вода Нарзан минеральная газированная, 1л",https://online.metro-cc.ru/products/narzan-prirodnaya-naturalnoj-gazacii-1l,79.9,,НАРЗАН
116425,"Вода San Bernardo газированная, 1.5л",https://online.metro-cc.ru/products/15l-voda-san-bernardo-gaz-pet-116425,249.0,184.9,SAN BERNARDO
568823,"RIOBA Вода негазированная, 330мл",https://online.metro-cc.ru/products/rioba-negazirovannaya-033-l,55.9,,RIOBA
549455,"Вода Baikal Reserve минеральная лечебно-столовая природная газированная, 530мл",https://online.metro-cc.ru/products/bajkal-rezerv-mineralnaya-gazirovannaya-053-l-549455,143.0,116.0,BAIKAL RESERVE
573874,"Вода Tassay питьевая газированная, 500мл",https://online.metro-cc.ru/products/tassay-gazirovannaya-pet-05-l,46.99,,TASSAY
92191,"Вода Липецкая минеральная столовая газированная, 1.5л",https://online.metro-cc.ru/products/mineralnaya-lipeckaya-rosinka-gazirovannaya-15l,44.49,32.9,ЛИПЕЦКАЯ
147457,"aro Вода негазированная, 1.5л",https://online.metro-cc.ru/products/aro-negazirovanaya-15l,32.99,,ARO
138358,"Вода San Bernardo Naturale Premium природная негазированная, 500мл",https://online.metro-cc.ru/products/05l-voda-san-bernardo-naturale-premium-pet-138358,149.0,92.9,SAN BERNARDO
223603,"Вода San Benedetto негазированная, 330мл",https://online.metro-cc.ru/products/033l-voda-san-benedetto-bg-pet-223603,97.9,,SAN BENEDETTO
59063,"Вода Сенежская питьевая негазированная, 1л",https://online.metro-cc.ru/products/art_59063,40.99,,СЕНЕЖСКАЯ
601633,"Вода Aqua Minerale питьевая негазированная, 1л",https://online.metro-cc.ru/products/bez-gaza-aqua-1-l,62.9,54.9,AQUA MINERALE
535019,"Вода Калинов Родник негазированная, 500мл",https://online.metro-cc.ru/products/negazirovannaya-kalinov-rodnik-gidrokarbonatnaya-magnievo-kalcievaya-05-l,28.49,,КАЛИНОВ РОДНИК
473979,"Вода Эдельвейс минеральная газированная, 1.5л",https://online.metro-cc.ru/products/edelvejs-gazirovannaya-15l-473979,49.99,,ЭДЕЛЬВЕЙС
